hq_id,inv_id,inv_name
336618,336618,supplier1
117699,117699,supplier1
169343,169343,supplier1
224056,224056,supplier1
127785,127785,supplier1
134316,134316,supplier1
153446,153446,supplier1
17555,17555,supplier3
19758,19758,supplier3
22443,22443,supplier3
27917,27917,supplier3
38766,38766,supplier3
125954,125954,supplier4
220836,220836,supplier4
240326,240326,supplier4
284895,284895,supplier3
429675,429675,supplier4
1067718,1067718,supplier4
1092398,1092398,supplier4
1093648,1093648,supplier4
1142298,1142298,supplier4
1242178,1242178,supplier4
1931635,1931635,supplier4
456269,456269,supplier1
540354,540354,supplier1
204489,204489,supplier1
256344,256344,supplier1
116942,116942,supplier1
236244,236244,supplier1
357506,357506,supplier1
112653,112653,supplier1
127215,127215,supplier1
137792,137792,supplier1
210033,210033,supplier1
232408,232408,supplier1
463582,463582,supplier1
114471,114471,supplier1
114932,114932,supplier1
121257,121257,supplier1
351939,351939,supplier1
15028,15028,supplier3
41822,41822,supplier3
198596,198596,supplier4
215436,215436,supplier4
234060,234060,supplier3
414485,414485,supplier4
1191098,1191098,supplier4
1800738,1800738,supplier4
408046,408046,supplier1
210215,210215,supplier1
560799,560799,supplier1
148539,148539,supplier1
352940,352940,supplier1
137877,137877,supplier1
165004,165004,supplier1
126967,126967,supplier1
130222,130222,supplier1
211924,211924,supplier1
14148,14148,supplier3
14499,14499,supplier3
19954,19954,supplier3
195016,195016,supplier4
224736,224736,supplier4
296339,296339,supplier3
2984,2984,supplier4
458595,458595,supplier4
1457198,1457198,supplier4
1474128,1474128,supplier4
1932505,1932505,supplier4
201530,201530,supplier1
209311,209311,supplier1
211498,211498,supplier1
324990,324990,supplier1
113550,113550,supplier1
324114,324114,supplier1
313620,313620,supplier1
309968,309968,supplier1
16520,16520,supplier3
19059,19059,supplier3
22012,22012,supplier3
23394,23394,supplier3
43823,43823,supplier3
141254,141254,supplier4
244126,244126,supplier4
293208,293208,supplier3
1438568,1438568,supplier4
1712418,1712418,supplier4
1890485,1890485,supplier4
1928225,1928225,supplier4
509700,509700,supplier1
142199,142199,supplier1
400765,400765,supplier1
232396,232396,supplier1
107075,107075,supplier1
204571,204571,supplier1
211475,211475,supplier1
440822,440822,supplier1
109840,109840,supplier1
191571,191571,supplier1
203800,203800,supplier1
265778,265778,supplier1
314229,314229,supplier1
20552,20552,supplier3
21216,21216,supplier3
